Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplace_Qu_No_Fireplace,Garage_Area,Second_Flr_SF,Lot_Area
2,2003,1668,840,840,144,1,500,828,11317
2,1991,1294,1278,1294,112,1,496,0,7153
2,1962,1283,931,1283,0,1,506,0,7763
2,2001,1788,1753,1788,202,0,522,0,11838
2,1968,1044,912,1044,200,0,372,0,10180
1,1959,1041,1041,1041,224,1,270,0,9600
2,1978,1981,1117,1117,336,0,522,864,17082
1,1959,864,864,864,0,1,300,0,9100
1,2008,1133,192,1133,0,1,308,0,9836
1,1950,1521,910,910,199,1,597,611,12144
2,2000,1848,975,975,280,0,592,873,7379
2,2007,1358,1350,1358,192,0,484,0,10307
1,1924,1691,1026,1026,0,0,308,665,5000
2,2005,1166,856,1166,212,1,400,0,9587
3,2003,1792,1792,1792,206,0,874,0,11846
1,1962,912,912,912,140,1,352,0,12968
2,1998,1796,794,882,0,1,546,914,9531
1,1967,980,980,980,68,1,384,0,9750
2,2000,2054,992,1022,24,0,390,1032,12224
1,1957,845,0,845,186,1,290,0,11500
2,1988,2062,1157,1180,60,0,454,882,14364
1,1958,1601,533,1021,280,1,300,580,13825
2,1927,756,660,756,80,1,440,0,9259
2,1970,864,864,864,210,1,576,0,7038
2,1957,1236,912,1236,0,1,923,0,7407
2,1999,1675,1666,1675,165,1,435,0,7915
0,1978,1040,1040,1040,0,1,0,0,8430
1,1920,967,967,967,0,0,180,0,3153
3,2008,2007,1017,1026,168,0,812,981,11003
2,2004,1143,1143,1143,0,0,588,0,3628
1,1958,1142,160,1142,0,0,384,0,9000
3,1918,2624,1370,1370,0,0,864,1254,22420
1,1920,1192,596,596,0,1,189,596,6402
2,1986,1453,1453,1453,0,0,445,0,5271
2,1999,1764,850,886,120,0,560,878,11690
2,1954,1906,1310,1906,0,0,576,0,17500
2,1898,2138,849,1075,40,1,360,1063,8100
1,1978,864,864,864,0,1,336,0,7000
1,1950,841,721,841,250,1,294,0,8400
2,1967,2640,932,1271,0,0,515,1369,10400
2,1956,1437,1188,1437,304,0,576,0,14175
2,1996,2125,1064,1064,168,0,576,1061,10990
1,1959,1143,1143,1143,0,1,308,0,8050
1,1958,808,808,808,143,1,308,0,5175
2,1963,816,816,816,106,1,516,0,8472
2,1930,1573,1078,1128,0,0,360,445,6240
0,1890,1544,925,1000,231,1,0,544,14190
1,1922,1022,1022,1022,0,0,184,0,4480
2,1992,1731,836,844,307,1,462,887,9370
2,1955,1360,384,1360,0,0,572,0,7134
2,2005,1190,1169,1190,100,1,578,0,8769
1,1969,1176,1176,1176,0,1,360,0,16133
2,2000,1690,924,948,100,0,463,742,8063
3,1994,2063,2024,2063,182,0,815,0,10750
2,1970,1422,925,1422,252,1,576,0,9457
3,2005,1546,1546,1546,144,1,796,0,11750
1,1973,945,945,945,174,0,253,0,2394
2,1996,1716,880,909,0,0,512,807,8750
2,2005,1306,1306,1306,170,0,624,0,5381
2,1992,1593,808,808,342,0,389,785,9636
2,1969,1427,1427,1427,0,1,516,0,11104
2,1890,2268,346,1157,0,1,624,1111,9000
4,1993,1440,1344,1440,288,1,920,0,9069
2,2000,1889,982,1008,0,0,431,881,8658
2,2002,1419,408,779,120,0,527,640,7750
2,2005,1072,547,1072,0,1,525,0,3675
2,1991,1472,384,802,164,0,402,670,10784
2,2007,1869,1869,1869,210,0,617,0,7820
2,1970,864,864,864,0,1,463,0,8120
2,1885,2290,777,1246,0,1,560,1044,11340
2,1980,1229,561,561,154,0,462,668,1612
1,1930,816,816,816,0,1,432,0,5890
2,1976,1671,1426,1671,280,0,550,0,16280
2,1993,1199,1199,1199,0,1,530,0,7892
2,1924,1301,1145,1301,0,1,440,0,6911
2,1961,1453,1453,1453,0,0,530,0,10573
3,1957,1797,1617,1797,0,0,963,0,11765
0,1954,1124,0,1124,0,0,0,0,8335
2,1965,1214,1214,1214,0,1,461,0,9170
1,1946,704,560,704,0,1,220,0,4280
3,2006,1977,982,982,240,1,574,995,9605
2,2000,1349,1349,1349,120,1,539,0,8450
1,1915,1456,728,728,0,1,308,728,6000
2,2006,1335,1335,1335,0,1,575,0,9000
3,2006,1828,1298,1298,0,1,876,530,10732
3,2007,2290,2320,2290,192,0,1174,0,17169
2,1966,1093,1093,1093,224,0,484,0,10738
2,1929,1344,672,672,0,0,456,672,5700
0,1971,796,796,796,129,1,0,0,6723
2,1971,1078,1078,1078,0,0,500,0,12537
2,1975,1558,864,1558,140,1,440,0,14330
1,1946,1242,484,1242,0,1,336,0,17808
2,1972,1790,732,1012,148,0,484,778,10400
2,1997,1604,926,926,0,0,470,678,10839
2,1967,1620,1620,1620,0,0,578,0,15387
3,2004,1780,1780,1780,144,0,816,0,14828
2,1975,1193,1176,1193,40,0,506,0,11050
2,2005,1408,734,734,0,1,489,674,7023
0,1945,866,686,866,58,1,0,0,3880
3,2005,2028,1868,2028,326,0,880,0,11443
1,1968,952,952,952,0,1,288,0,8300
2,1915,2180,1138,1138,0,0,720,1042,10320
1,1956,1104,1104,1104,0,1,384,0,10425
2,1920,1362,611,751,0,1,502,611,6155
2,1936,1135,560,575,256,1,576,560,7200
2,2007,2610,1184,1184,208,0,550,1426,9000
1,1930,1098,531,567,0,0,216,531,4000
2,1958,1650,1632,1650,0,0,518,0,50102
2,2003,1557,1374,1557,143,0,420,0,3196
2,1920,1118,648,734,0,1,440,384,4400
2,1948,1122,924,1122,0,1,528,0,12000
2,1963,1395,1395,1395,657,0,440,0,9760
3,1995,2726,1342,1358,307,0,725,1368,10019
1,1926,919,894,919,0,1,195,0,7000
3,2003,2452,2452,2452,0,0,886,0,15274
2,2003,1405,1405,1405,148,0,478,0,3136
1,1957,1244,1244,1244,0,0,336,0,11988
3,2004,2373,1052,1052,120,0,632,1321,11631
2,2006,1492,738,738,100,1,440,754,9073
2,1930,768,768,768,0,1,440,0,6291
2,1997,1786,824,905,0,1,684,881,9337
1,1924,1310,617,865,0,1,398,445,7000
2,2009,1224,612,612,0,1,528,612,3000
2,1953,910,105,910,196,1,414,0,8892
3,2004,2468,1136,1136,184,0,872,1332,12099
2,1954,1363,1385,1363,81,0,439,0,39104
2,1995,1616,1595,1616,237,0,608,0,5389
2,1994,1850,973,979,168,0,467,871,29959
2,1937,1176,698,786,210,1,624,390,6000
1,1956,1509,1509,1509,158,0,322,0,9571
1,1996,1097,1097,1097,306,1,242,0,16561
2,2005,1208,1208,1208,105,1,632,0,7488
2,1978,2784,1392,1392,0,0,564,1392,16692
1,1936,879,830,879,0,1,180,0,5220
2,1992,2295,1095,1166,0,0,590,1129,13346
2,1923,1848,833,1053,0,0,370,795,13053
2,1990,2514,1216,1298,0,1,693,1216,11170
1,1967,1656,624,1092,0,0,288,564,6000
2,1986,1400,676,698,0,1,465,702,10274
2,1999,1651,831,873,0,0,450,778,8390
1,1930,1324,741,741,0,1,180,583,6120
2,2007,1761,874,874,144,1,578,887,10207
2,1973,1656,1656,1656,0,1,506,0,9246
2,1981,1422,1422,1422,276,0,576,0,12090
2,2006,1625,1573,1625,123,0,495,0,5568
0,1971,864,864,864,0,0,0,0,10500
1,1940,1090,720,760,0,1,240,330,6000
3,2005,2206,1090,1117,148,0,670,1089,13975
2,2006,1442,352,712,100,1,400,730,9802
3,2005,2097,2077,2097,192,0,1134,0,20896
0,1910,1447,801,801,80,1,0,646,10134
2,1988,1412,1392,1412,0,0,576,0,11457
1,1984,923,876,923,362,1,264,0,6951
3,2003,2385,1317,1217,192,0,818,1168,14277
1,1982,845,845,845,0,1,264,0,6600
1,1910,1330,396,665,0,1,390,665,7518
1,1935,1573,884,989,0,1,240,584,6120
3,2007,1726,1726,1726,171,0,786,0,9416
2,2008,1256,1145,1256,0,0,641,0,4217
2,2003,1553,1553,1553,192,1,588,0,8736
3,2002,1712,1712,1712,218,0,701,0,16770
2,1939,2009,989,1245,0,0,400,764,6240
2,1912,759,451,759,40,1,576,0,10320
3,1996,2398,1379,1383,239,0,834,1015,11787
2,2003,1656,746,760,178,0,397,896,6931
1,1921,1298,651,759,216,0,240,539,6821
3,2002,1922,1922,1922,201,0,692,0,11305
2,1998,1724,880,880,120,1,527,844,8924
1,1900,1290,554,736,38,1,200,554,5870
1,1913,694,440,694,0,0,352,0,4280
1,1945,1487,735,798,0,0,220,689,8741
2,1997,1384,384,754,0,0,390,630,8872
2,1976,1324,1228,1324,407,0,585,0,8991
2,1975,1875,675,1109,48,0,485,766,10530
2,1954,1482,954,1482,0,0,609,0,16012
2,1964,2154,845,845,0,0,539,1309,8800
3,1999,1852,1004,1004,224,0,660,848,9066
2,1976,1523,1193,1523,0,0,478,0,11361
1,1920,1012,816,1012,121,1,429,0,9800
1,1956,1560,1150,1560,0,0,313,0,11767
1,1958,988,988,988,0,1,264,0,13587
1,1925,1060,756,916,0,0,308,144,6854
3,2005,1960,1728,1960,172,0,714,0,13618
0,1949,1192,720,720,0,1,0,472,10800
1,1951,884,884,884,0,1,270,0,15428
1,1930,1358,687,687,0,0,336,671,3600
2,1970,1657,1657,1657,0,0,484,0,12155
2,2002,2290,1128,1149,0,0,779,1141,11250
3,2008,2042,2042,2042,0,0,1390,0,12704
1,1965,965,828,965,421,1,300,0,7800
2,2006,1564,1546,1564,132,0,502,0,8298
2,2005,2064,1074,1074,0,0,527,990,13128
2,1925,764,680,764,0,1,504,0,5232
2,2001,1792,963,963,0,0,564,829,12435
1,1925,816,816,816,168,1,210,0,11672
3,2009,1968,774,774,0,0,680,1194,12003
3,2008,2402,3094,2402,0,0,672,0,15431
1,1950,932,932,932,0,0,306,0,8280
2,1960,1065,1065,1065,74,1,461,0,8892
1,1984,752,744,752,353,1,264,0,7175
2,1993,2075,1148,1091,235,0,473,984,10530
3,2004,1782,1782,1782,99,0,932,0,16870
2,1974,1026,970,1026,193,0,528,0,8410
1,1942,1282,672,778,0,1,240,504,4484
1,1950,1668,856,1112,0,1,271,556,9600
2,1994,1626,1602,1626,424,0,534,0,9938
2,2007,1419,1419,1419,140,0,567,0,8089
2,2005,1596,784,784,144,1,610,812,9316
1,1952,1008,1008,1008,0,1,280,0,12778
2,1917,2058,735,1134,0,0,396,924,9600
2,2006,1412,616,616,0,0,432,796,8499
1,1953,1036,1036,1036,120,1,312,0,7584
1,1935,1032,0,1032,0,0,260,0,8250
2,1970,864,864,864,96,1,660,0,6960
2,1998,1604,926,926,360,0,470,678,9978
1,1963,1380,1380,1380,0,1,364,0,10143
2,1963,925,925,925,203,1,484,0,8638
1,1937,906,348,453,0,1,231,453,4882
3,1997,1838,1838,1838,160,1,721,0,10126
2,1998,1337,1237,1337,0,1,405,0,4500
3,1915,1214,672,694,216,1,936,520,10410
2,1975,969,969,969,0,1,440,0,10356
3,2008,2296,1722,1728,382,0,842,568,13478
2,1999,1458,729,729,0,0,440,729,3230
2,1999,1337,1405,1337,203,0,511,0,5858
1,1979,918,918,918,28,0,264,0,7892
2,1974,1389,1389,1389,240,0,418,0,10010
1,1926,1224,818,818,0,1,210,406,3950
2,1948,1559,1559,1559,0,1,812,0,8100
1,1960,1144,1144,1144,0,0,336,0,9100
2,2001,1338,1338,1338,0,1,582,0,4920
3,2007,2656,1934,1943,268,0,1040,713,13641
1,1919,1636,818,818,0,0,288,818,9399
2,1974,1877,1084,1084,0,0,488,793,8000
2,1966,1320,1164,1320,160,0,564,0,11777
2,1992,1603,761,810,0,1,484,793,7153
2,1890,1869,1088,1188,48,1,456,561,8820
2,1940,1215,720,720,0,1,720,495,7000
0,1970,1092,546,546,200,1,0,546,1476
3,2006,2643,2153,2069,414,0,694,574,13693
0,1935,729,270,729,0,1,0,0,4130
1,1951,1091,1091,1091,66,0,344,0,7801
2,1996,2013,1117,1127,180,0,455,886,9920
1,1977,1268,1268,1268,173,1,252,0,9286
1,1955,972,972,972,0,1,305,0,10895
2,1950,1067,1067,1067,290,1,436,0,9600
2,1952,733,0,733,0,1,487,0,14584
2,2005,1752,1752,1752,196,0,576,0,7658
2,2004,1710,1710,1710,100,0,550,0,12118
2,1999,1430,384,774,0,0,410,656,7848
2,1992,883,828,883,100,0,698,0,7669
2,1961,1155,1109,1155,192,1,576,0,11782
3,2006,1656,1656,1656,0,1,826,0,11096
2,1977,1279,1196,1279,238,0,473,0,10125
1,1939,1342,739,874,0,0,240,468,6000
1,1940,1302,680,798,0,0,224,504,6960
2,1972,1181,1138,1181,0,1,588,0,10012
2,2005,1367,1367,1367,0,0,484,0,12304
2,1964,1582,1624,1582,168,1,390,0,36500
2,2004,1709,970,970,0,1,380,739,2522
1,1941,1288,824,824,0,1,240,464,6191
2,2001,1665,810,810,0,1,528,855,8400
3,2007,1689,1689,1689,0,1,954,0,9849
1,1940,1750,983,983,245,1,423,767,12508
1,1963,864,864,864,0,1,276,0,6360
2,2006,1330,1330,1330,0,0,437,0,8334
2,2002,1725,840,840,0,1,550,885,8749
2,1993,1744,996,1014,370,1,457,730,9453
1,1925,1236,768,788,0,0,384,448,7006
1,1920,835,458,835,0,1,366,0,10625
2,2004,1646,1594,1646,128,0,525,0,3842
1,1920,1317,649,649,0,1,250,668,8500
2,1975,1533,1533,1533,200,0,576,0,70761
2,1981,1226,1226,1226,133,0,484,0,3782
2,2006,1326,1326,1326,100,1,427,0,11660
0,1920,1198,901,1088,0,1,0,110,5586
2,2006,1460,1460,1460,0,0,480,0,10037
2,2005,1223,600,520,0,1,480,623,2544
1,1922,1180,700,1180,0,0,252,0,11600
2,1995,2061,1070,1094,296,0,647,967,9085
2,2000,1671,959,959,0,0,472,712,10852
1,1972,987,483,483,0,0,288,504,1680
2,1997,1608,945,945,252,0,470,663,10179
2,2005,1536,768,768,0,1,400,768,9045
2,2002,1358,1348,1358,68,0,418,0,11088
2,1993,1775,740,1006,234,0,425,769,9317
2,1957,1073,1073,1073,0,1,720,0,6565
3,1946,1499,904,904,0,0,869,595,9000
2,2001,1337,1337,1337,136,0,511,0,4113
1,1956,1375,1240,1375,0,0,323,0,14175
2,1997,1511,802,802,95,0,413,709,11207
3,2010,1418,1642,1418,160,0,852,0,12853
1,1962,1207,1135,1207,0,1,264,0,9510
3,2007,1555,1373,1555,143,0,660,0,3684
2,1945,998,0,998,0,1,460,0,9000
2,2005,1561,1561,1561,203,0,556,0,7313
2,1923,1576,1324,1072,0,0,528,504,21384
0,1922,2128,1040,1088,0,1,0,1040,3000
2,1965,2140,744,825,0,0,549,1315,8970
2,1960,1224,1224,1224,474,0,576,0,20000
3,2005,2490,2458,2490,70,0,795,0,11128
3,1998,2475,1629,1645,23,0,962,830,17433
2,1958,864,864,864,0,1,624,0,9100
2,1980,1686,1686,1686,384,0,612,0,10240
2,2002,1720,840,840,138,0,400,880,8010
2,2005,1362,1362,1362,192,0,460,0,6289
2,1961,1773,1313,1773,355,0,418,0,10800
2,1994,2687,2062,2079,168,1,618,608,13108
2,1980,1056,1056,1056,264,1,576,0,6979
2,2005,1132,1132,1132,252,1,451,0,7024
1,1972,1092,546,546,0,1,253,546,1484
3,2003,1589,1406,1589,143,0,630,0,3621
2,1964,1440,720,720,0,0,480,720,9350
2,1910,1232,616,616,280,1,480,616,4571
2,2004,1515,789,813,0,0,393,702,9024
1,1925,1472,702,842,0,1,250,630,9600
2,1980,2362,2002,2362,180,0,546,0,12000
2,2004,2466,1580,1580,159,0,610,886,11143
0,1920,1701,600,1101,0,1,0,600,7627
3,2000,2198,1145,1145,192,0,836,1053,14260
2,1997,1682,1664,1682,0,0,528,0,6264
2,1964,1486,1486,1486,0,1,480,0,9937
2,2000,1874,1058,1058,0,0,588,816,7500
2,1974,1322,855,855,260,0,440,467,2308
2,1978,1040,960,1040,131,0,616,0,7176
3,2004,1512,1512,1512,210,1,845,0,10141
1,1900,1844,709,1157,84,0,240,687,4800
1,1948,1458,912,912,192,0,330,546,17503
2,1879,2454,819,1312,0,0,576,1142,13500
3,2003,1455,1415,1455,156,0,644,0,3940
2,1921,2601,612,990,183,1,621,1611,9842
2,1966,2157,924,1216,105,0,487,941,14200
3,1998,2582,1389,1411,286,0,758,1171,11002
2,1992,1187,1168,1187,0,1,420,0,9556
2,1992,1287,624,624,150,1,440,663,10429
3,1880,3493,1470,1675,302,0,870,1818,18386
2,1977,1008,923,1008,201,0,678,0,9129
1,1950,1558,910,910,289,1,282,648,13710
1,1959,876,876,876,0,1,320,0,6410
1,1920,1802,793,901,0,0,216,901,7588
1,1942,1453,835,955,0,0,240,498,6360
2,1915,1338,832,846,0,1,528,492,7822
2,2004,1488,1488,1488,168,0,506,0,4835
1,1954,825,825,825,0,1,350,0,7200
3,2005,1616,1616,1616,208,1,834,0,8688
2,2006,1352,1352,1352,0,0,466,0,3606
2,2005,1072,547,1072,0,1,525,0,3675
2,2003,1080,530,530,0,1,496,550,4447
1,1924,872,872,872,0,0,322,0,17529
2,1980,788,728,788,133,0,484,0,4420
2,1999,1341,1341,1341,240,0,482,0,17227
0,1923,1828,859,942,174,1,0,886,9060
2,2000,1823,928,928,192,1,626,895,12192
2,1961,964,964,964,170,0,784,0,8243
1,1971,858,858,858,0,1,684,0,7340
2,2005,1364,1364,1364,192,0,484,0,7052
2,2004,1598,848,848,100,0,433,750,9171
2,2006,1797,939,939,144,1,639,858,9245
0,1902,1864,1020,978,0,1,0,886,5852
1,2004,1073,1073,1073,0,1,246,0,5500
2,1968,1770,900,884,0,1,530,886,8640
0,1947,912,0,672,0,1,0,240,6240
2,2005,1326,1326,1326,120,1,388,0,12216
2,1970,960,960,960,0,1,576,0,9873
2,1920,1376,768,752,0,1,576,624,8850
3,2009,1226,1226,1226,0,1,740,0,10402
2,1995,1734,1587,1734,52,1,528,0,8013
0,1965,1664,0,1664,0,1,0,0,9825
2,1980,1045,516,529,180,0,462,516,1782
1,1948,1224,816,816,414,1,280,408,8064
3,1994,2494,1290,1305,200,0,803,1189,10236
2,1969,988,938,988,0,0,540,0,21453
2,1990,1217,1188,1217,168,1,497,0,9947
3,2005,1838,1838,1838,161,0,682,0,11577
2,1922,1470,738,868,0,1,624,602,10560
1,1969,1479,864,864,287,1,275,615,10544
2,1955,864,864,864,196,1,528,0,8172
2,2004,1582,770,770,0,1,520,812,8320
2,1997,1692,878,892,0,0,513,800,9337
2,1936,1040,528,548,306,1,624,492,6240
1,1959,1440,1248,1440,150,1,480,0,9840
2,2008,1506,1498,1506,0,0,592,0,14587
1,1957,1306,992,1306,0,1,756,0,8712
2,1925,1281,1151,845,0,1,580,436,10284
1,1928,1576,1042,1042,0,0,225,534,6240
3,2004,2452,1117,1132,113,0,691,1320,13418
2,1967,1296,0,1296,0,1,516,0,10791
3,2005,2376,1158,1158,240,0,853,1218,14215
2,2002,1811,972,972,225,0,565,839,8470
1,1973,988,526,526,120,1,297,462,1974
3,1990,3222,1673,1699,367,0,594,1523,12376
2,1941,1604,984,984,0,1,660,620,10998
3,2005,1590,1570,1590,176,1,754,0,11645
1,1973,987,483,483,52,1,264,504,1680
1,1973,1092,546,546,120,1,286,546,1974
2,2002,1573,1573,1573,0,1,544,0,9808
1,1947,1054,1046,1054,0,1,240,0,9488
3,1998,1976,1044,1079,210,0,885,897,9660
2,1973,1242,1242,1242,0,0,528,0,9600
2,1979,1229,1094,1229,120,0,672,0,7040
0,1971,1824,912,912,128,1,0,912,9400
0,1956,882,882,882,0,1,0,0,5500
2,2003,1733,847,847,100,0,433,886,12394
2,1900,1699,978,1014,0,1,420,685,10615
0,1907,1884,707,942,0,1,0,942,6449
2,2001,1312,1267,1312,256,1,471,0,6718
2,1954,1375,1367,1375,0,0,451,0,11310
2,2009,1502,1502,1502,0,1,644,0,9541
3,2008,2234,2216,2234,0,0,1166,0,17423
1,1952,732,732,732,0,1,240,0,7200
2,2004,1200,600,600,0,1,480,600,2544
3,2008,1720,1720,1720,208,0,846,0,10816
2,1988,1509,1461,1509,224,0,600,0,10200
1,1976,1112,536,536,182,1,336,576,2592
2,1930,1801,697,1104,0,0,365,697,14210
3,1910,1521,741,780,0,1,640,741,9720
2,1954,1299,967,1299,81,0,494,0,11375
3,2002,1611,1569,1611,262,1,1231,0,11664
0,2005,1131,1131,1131,0,1,0,0,13072
2,2004,1680,840,840,0,1,588,840,3515
2,1981,1440,1440,1440,0,0,467,0,12546
2,1930,1920,960,960,248,0,480,960,7804
1,1954,1008,1008,1008,0,0,275,0,11425
2,2005,1585,784,831,100,1,449,754,7632
2,1977,1734,0,1302,0,1,539,432,10125
3,1976,1034,1012,1034,0,1,888,0,12328
2,1996,965,870,965,71,1,580,0,11105
2,1975,1456,855,855,173,0,440,601,2280
2,1957,1392,1392,1392,0,0,528,0,11341
0,1923,869,440,869,0,1,0,0,5900
3,2002,2004,870,878,0,0,644,1126,12891
2,1965,1625,1625,1625,0,1,484,0,9750
2,2000,1652,782,782,0,1,532,870,8998
2,1960,1179,1179,1179,0,1,622,0,8240
1,1918,838,816,838,0,1,275,0,10267
2,1994,1908,915,933,144,0,493,975,8750
1,1958,1276,1276,1276,0,1,350,0,9571
2,1999,1358,1339,1358,176,1,625,0,7321
2,1992,1737,836,844,192,1,506,893,8285
1,1962,1188,1188,1188,261,1,312,0,26142
2,1990,2503,1223,1271,0,0,564,1232,19522
2,1993,1820,864,920,144,1,492,900,11613
2,2002,1419,1487,1419,196,1,543,0,8773
2,1972,864,864,864,216,1,576,0,12735
2,2001,1492,1492,1492,0,0,608,0,11166
2,2007,1258,1246,1258,0,1,462,0,7697
2,2009,1218,1218,1218,0,1,676,0,9215
2,1960,1496,1296,1496,0,1,450,0,9600
2,2006,1495,738,738,100,0,440,757,8857
2,1969,2112,952,1092,280,0,576,1020,11075
3,2007,1580,1580,1580,0,1,830,0,11932
2,1965,912,912,912,0,1,576,0,8872
2,1979,1353,1259,1353,240,0,478,0,10400
1,1920,1510,755,755,0,1,216,755,4899
1,1925,1348,884,884,0,0,216,464,6000
3,1900,1774,1095,1095,0,1,779,679,9600
3,2007,1582,1582,1582,209,1,905,0,12704
2,1997,1337,1405,1337,0,0,522,0,10943
2,2007,1428,1428,1428,0,1,480,0,11639
1,1948,1082,1082,1082,0,0,240,0,11664
2,1956,1145,301,1145,0,1,684,0,7700
2,1968,1920,570,1222,0,0,487,698,10192
2,1958,1604,1604,1604,42,1,576,0,8267
1,1931,875,715,875,48,1,180,0,6120
2,1983,1080,1084,1080,120,1,484,0,9187
1,1954,1626,988,988,366,1,332,638,10512
2,1976,1178,1090,1178,0,1,502,0,11000
2,2003,2149,1434,1518,168,0,670,631,12822
1,1950,1164,1164,1164,0,1,240,0,10880
3,2003,2262,1482,1482,168,0,749,780,12244
2,1994,1481,702,702,0,0,343,779,8125
1,1971,1109,372,576,35,1,288,533,10500
2,1963,1054,936,1054,120,1,480,0,8800
2,1922,2555,588,1423,431,0,672,748,11526
1,1949,1268,832,1036,0,0,288,0,12144
1,1924,792,768,792,316,1,240,0,9022
2,2006,1125,1125,1125,80,1,430,0,8536
2,1964,1851,822,1020,239,0,440,831,9760
2,1900,2337,662,1422,0,1,560,915,13600
2,1990,1321,1312,1321,0,0,484,0,5118
2,1918,1674,1163,1163,72,0,396,511,21780
2,1973,1055,1044,1055,455,0,542,0,12712
2,2003,1560,1560,1560,100,1,573,0,9196
3,1958,1776,1584,1776,0,1,888,0,11475
1,1921,1343,731,820,192,0,186,523,7681
3,2006,1606,1598,1606,230,0,871,0,9658
3,1996,2032,1840,2032,0,1,786,0,23730
2,2004,848,848,848,140,0,420,0,4435
4,1922,1436,892,1254,0,0,1488,182,10836
2,1977,1694,1694,1694,501,0,642,0,14694
2,1992,3228,3200,3228,264,0,546,0,12692
2,1940,861,861,861,158,1,539,0,12342
2,2005,1504,1346,1504,156,0,457,0,3182
2,2007,1372,1372,1372,0,1,529,0,8640
2,1977,2020,0,2020,0,0,630,0,8400
2,1971,1258,1258,1258,55,1,528,0,11040
2,2001,1872,1299,1299,160,0,531,573,11885
1,1972,1218,672,672,0,1,264,546,1680
2,1983,902,864,902,164,1,484,0,8885
3,1990,2243,700,1122,127,0,746,1121,13474
2,2002,1492,1492,1492,277,0,596,0,8000
2,1978,1664,1664,1664,0,1,616,0,8385
1,1980,923,923,923,80,0,264,0,8012
3,1993,2646,1347,1372,340,0,656,1274,9900
2,1989,1337,1337,1337,0,0,462,0,5950
0,1890,1080,684,684,0,1,0,396,5914
2,1998,1779,866,866,198,1,546,913,10400
2,1973,2521,942,1291,728,0,576,1230,3964
1,1959,1053,1053,1053,0,1,312,0,10007
1,1950,1435,910,910,0,1,308,525,8674
2,1974,1037,1037,1037,136,1,431,0,10751
1,1964,1302,1302,1302,333,1,309,0,9350
2,1967,1691,1680,1691,0,1,550,0,9900
1,1929,1158,862,950,0,0,208,208,6000
0,1900,1294,0,694,220,1,0,600,10800
3,2006,1717,1709,1717,169,0,908,0,11146
3,2004,1914,1420,1426,168,0,746,488,13215
1,1930,935,742,779,0,1,308,0,9100
1,1926,2080,1276,1276,0,0,282,804,10918
2,2007,1728,1884,1728,0,0,520,0,11449
3,2005,2798,1398,1414,182,0,670,1384,16023
2,1977,1426,690,698,252,1,440,728,7950
2,1999,1501,1490,1501,144,1,577,0,10335
2,1992,2872,1683,2129,0,0,541,743,10678
1,1957,1340,0,1340,116,0,252,0,9060
3,2000,2234,1160,1205,0,0,768,1029,9545
2,1970,1002,1002,1002,0,1,902,0,8750
2,1977,1411,1386,1411,192,0,544,0,11900
2,1992,1923,750,1061,240,0,564,862,10186
1,1956,1050,1050,1050,0,1,338,0,9600
2,2004,1630,868,868,120,0,436,762,7984
3,2008,1612,796,796,0,1,666,816,12018
1,1962,1027,1027,1027,0,1,299,0,8000
2,2001,1212,1212,1212,356,1,573,0,9100
0,1910,1347,1117,820,85,1,0,527,7000
3,2007,1651,1643,1651,192,0,870,0,10235
3,1969,2544,1248,1248,0,1,907,1296,9671
1,1968,1056,1056,1056,0,0,304,0,8450
3,1998,1916,1049,1036,0,0,741,880,11050
2,1952,1960,960,960,0,1,400,1000,7596
1,1977,985,985,985,210,1,328,0,8385
1,1940,1134,756,756,0,1,240,378,8160
2,1998,1494,1482,1494,402,0,514,0,16196
2,1932,2345,952,1170,0,0,360,1175,16560
1,1968,1159,1051,1159,466,0,336,0,11553
2,2004,1119,835,1119,100,1,437,0,16219
1,1973,1218,672,672,0,1,264,546,2058
1,1938,1610,972,1052,0,0,480,558,18600
2,2006,1565,1511,1565,0,1,476,0,3784
3,2003,1575,1603,1575,216,0,732,0,10845
1,1954,1387,811,811,0,1,256,576,6000
2,2005,1247,1247,1247,0,0,550,0,3316
1,1925,641,641,641,184,1,272,0,7030
2,1992,1915,908,927,120,0,506,988,10041
1,1972,948,483,483,0,1,264,465,1680
3,2006,2121,2121,2121,124,0,732,0,14450
2,1999,2299,938,957,188,0,482,1342,7500
2,1998,1382,384,751,256,0,396,631,8923
1,1966,1040,1040,1040,0,1,264,0,11677
2,1914,1768,880,880,0,0,320,888,10800
1,1940,1034,735,735,0,1,240,299,10134
2,2002,1536,1536,1536,192,1,532,0,9135
2,1926,1281,756,903,25,1,379,378,6120
2,1966,1888,1517,1888,0,0,578,0,16492
2,1987,1479,1645,1479,224,0,578,0,14419
2,1920,861,861,861,0,1,288,0,7404
1,1966,894,894,894,0,1,384,0,7094
1,1910,1368,684,684,0,1,216,684,3600
2,1979,1224,1086,1224,120,0,528,0,7018
2,2008,1590,768,786,0,1,676,804,9000
2,1995,990,990,990,224,1,576,0,13568
3,2007,1464,1485,1464,168,1,754,0,15256
2,1980,1229,561,561,150,0,462,668,1300
0,1949,1588,448,1588,0,1,0,0,12205
3,2002,1689,1568,1689,150,0,857,0,13265
2,1971,1696,1696,1696,0,0,625,0,20693
2,1995,1671,781,781,0,0,423,890,13041
2,1978,1032,1032,1032,0,0,564,0,10395
